,index,PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
63,63,5.0,2-6 SiaLac,300.0,105.0,0.35,2.259,237.163,1.606490051146258,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,381.0,0.04610355828251283,Binder
64,64,5.0,2-6 SiaLac,300.0,105.0,0.35,2.289,240.323,1.5936884942348422,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,383.0,0.0457361751637993,Binder
65,65,5.0,2-6 SiaLac,300.0,105.0,0.35,2.046,214.796,1.7737760479710982,0,11,Data/H1N1_MDCK/MDCK_sheet2.csv,381.0,0.0509043845926162,Binder
66,66,5.0,2-6 SiaLac,300.0,141.0,0.47,1.953,275.404,1.5214012868367925,0,12,Data/H1N1_MDCK/MDCK_sheet2.csv,419.0,0.04366165408165619,Binder
67,67,5.0,2-6 SiaLac,300.0,141.0,0.47,1.989,280.391,1.4051806227731987,0,12,Data/H1N1_MDCK/MDCK_sheet2.csv,394.0,0.04032631680056622,Binder
68,68,5.0,2-6 SiaLac,300.0,141.0,0.47,1.992,280.815,1.253494293396008,0,12,Data/H1N1_MDCK/MDCK_sheet2.csv,352.0,0.035973174668056954,Binder
69,69,5.0,2-6 SiaLac,300.0,141.0,0.47,2.111,297.683,1.216058693307982,0,12,Data/H1N1_MDCK/MDCK_sheet2.csv,362.0,0.03489883600703152,Binder
70,70,5.0,2-6 SiaLac,300.0,141.0,0.47,1.868,263.384,1.1542083042250098,0,12,Data/H1N1_MDCK/MDCK_sheet2.csv,304.0,0.03312383402936705,Binder
71,71,10.0,2-6 SiaLac,150.0,44.0,0.29,3.838,168.859,1.385771560888078,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,234.0,0.03976930941966705,Binder
72,72,10.0,2-6 SiaLac,150.0,44.0,0.29,3.78,166.319,1.3648470709900855,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,227.0,0.03916881180758683,Binder
73,73,10.0,2-6 SiaLac,150.0,44.0,0.29,4.234,186.287,1.7177795552024564,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,320.0,0.04929737957809193,Binder
74,74,10.0,2-6 SiaLac,150.0,44.0,0.29,3.733,164.231,2.2103013438388612,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,363.0,0.06343192524278753,Binder
75,75,10.0,2-6 SiaLac,150.0,44.0,0.29,4.125,181.503,2.071591103177358,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,376.0,0.05945117499776981,Binder
76,76,10.0,2-6 SiaLac,150.0,44.0,0.29,3.676,161.734,2.38045185304265,0,13,Data/H1N1_MDCK/MDCK_sheet2.csv,385.0,0.06831495823280131,Binder
77,77,10.0,2-6 SiaLac,150.0,60.0,0.4,2.655,159.3,1.6070307595731324,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,256.0,0.04611907570352297,Binder
78,78,10.0,2-6 SiaLac,150.0,60.0,0.4,2.894,173.656,1.710277790574469,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,297.0,0.049082091570238205,Binder
79,79,10.0,2-6 SiaLac,150.0,60.0,0.4,2.821,169.286,1.7367059296102454,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,294.0,0.049840534641494634,Binder
80,80,10.0,2-6 SiaLac,150.0,60.0,0.4,2.789,167.355,1.577484987003675,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,264.0,0.04527116180160622,Binder
81,81,10.0,2-6 SiaLac,150.0,60.0,0.4,3.242,194.547,2.4981109963145154,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,486.0,0.07169157744400309,Binder
82,82,10.0,2-6 SiaLac,150.0,60.0,0.4,2.945,176.675,3.1866421395217204,0,14,Data/H1N1_MDCK/MDCK_sheet2.csv,563.0,0.09145126140066928,Binder
83,83,10.0,2-6 SiaLac,200.0,78.0,0.39,4.063,316.891,1.5652069639087256,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,496.0,0.04491880322151534,Binder
84,84,10.0,2-6 SiaLac,200.0,78.0,0.39,3.829,298.679,1.432976540031271,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,428.0,0.041124012802735095,Binder
85,85,10.0,2-6 SiaLac,200.0,78.0,0.39,4.168,325.119,0.9504212303802607,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,309.0,0.027275488296058324,Non-binder
86,86,10.0,2-6 SiaLac,200.0,78.0,0.39,3.79,295.656,0.7001379982141407,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,207.0,0.020092781143235827,Non-binder
87,87,10.0,2-6 SiaLac,200.0,78.0,0.39,3.831,298.845,0.6090113604042229,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,182.0,0.01747760014391292,Non-binder
88,88,10.0,2-6 SiaLac,200.0,78.0,0.39,2.369,184.803,2.2023452000238093,0,15,Data/H1N1_MDCK/MDCK_sheet2.csv,407.0,0.06320359731768176,Binder
89,89,10.0,2-6 SiaLac,200.0,98.0,0.49,3.871,379.364,1.3891671323583683,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,527.0,0.039866756600912434,Binder
90,90,10.0,2-6 SiaLac,200.0,98.0,0.49,3.773,369.799,1.6630656113185813,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,615.0,0.047727181556064646,Binder
91,91,10.0,2-6 SiaLac,200.0,98.0,0.49,3.763,368.728,1.4292378121542166,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,527.0,0.04101671761067384,Binder
92,92,10.0,2-6 SiaLac,200.0,98.0,0.49,1.556,152.473,2.334839610947512,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,356.0,0.06700596371999444,Binder
93,93,10.0,2-6 SiaLac,200.0,98.0,0.49,2.128,208.542,1.2179800711607254,0,16,Data/H1N1_MDCK/MDCK_sheet2.csv,254.0,0.034953976314781,Binder
