PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
1.0,2-3 SiaLac,111.0,1.72,0.024,2.694,904.2316258351893,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,2436.0,0.3646921241738203,Binder
1.0,2-3 SiaLac,111.0,1.72,0.026,2.899,859.2618144187651,190.0,0,19,Data/H1N1_EGG/old_sheet1.csv,2491.0,0.3465550279027139,Binder
1.0,2-3 SiaLac,93.0,2.05,0.019,1.747,840.2976531196337,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,1468.0,0.3389064563755157,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.716,361.3053613053613,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,620.0,0.14572064936142606,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.7,551.7647058823529,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,938.0,0.22253616980772892,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.684,669.833729216152,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,1128.0,0.2701554320503655,Binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.566,1032.5670498084291,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,1617.0,0.4164520018847103,Binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.536,1630.859375,190.0,0,20,Data/H1N1_EGG/old_sheet1.csv,2505.0,0.6577535586063916,Binder
1.0,2-3 SiaLac,83.0,2.3,0.023,1.868,1493.0406852248393,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,2789.0,0.6021689171396297,Binder
1.0,2-3 SiaLac,83.0,2.3,0.037,3.068,502.6075619295958,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,1542.0,0.2027102505031582,Binder
1.0,2-3 SiaLac,83.0,2.3,0.024,1.991,1290.808638874937,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,2570.0,0.520605264141712,Binder
1.0,2-3 SiaLac,83.0,2.3,0.029,2.368,703.9695945945946,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,1667.0,0.28392301205938947,Binder
1.0,2-3 SiaLac,83.0,2.3,0.033,2.745,612.7504553734062,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,1682.0,0.24713276861136166,Binder
1.0,2-3 SiaLac,83.0,2.3,0.027,2.241,1381.5261044176707,190.0,0,21,Data/H1N1_EGG/old_sheet1.csv,3096.0,0.5571931739904602,Binder
1.0,2-3 SiaLac,70.0,2.71,0.031,2.209,498.415572657311,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,1101.0,0.2010195493282116,Binder
1.0,2-3 SiaLac,70.0,2.71,0.029,2.074,518.3220829315333,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,1075.0,0.20904818636033118,Binder
1.0,2-3 SiaLac,70.0,2.71,0.03,2.089,853.9971278123504,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,1784.0,0.344431689493897,Binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.482,1979.0823211875843,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,2933.0,0.7981978455598793,Binder
1.0,2-3 SiaLac,70.0,2.71,0.032,2.258,857.3959255978742,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,1936.0,0.34580248293733035,Binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.446,1320.8852005532503,190.0,0,22,Data/H1N1_EGG/old_sheet1.csv,1910.0,0.5327356573428764,Binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.122,1420.6773618538323,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,1594.0,0.5729835476408862,Binder
1.0,2-3 SiaLac,64.0,2.98,0.018,1.181,829.805249788315,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,980.0,0.33467469014520634,Binder
1.0,2-3 SiaLac,64.0,2.98,0.021,1.366,488.2869692532943,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,667.0,0.19693450984851715,Binder
1.0,2-3 SiaLac,64.0,2.98,0.019,1.228,659.6091205211726,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,810.0,0.2660316719901331,Binder
1.0,2-3 SiaLac,64.0,2.98,0.023,1.469,544.5881552076243,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,800.0,0.21964174382767046,Binder
1.0,2-3 SiaLac,64.0,2.98,0.02,1.252,1424.9201277955272,190.0,0,23,Data/H1N1_EGG/old_sheet1.csv,1784.0,0.5746947279175326,Binder
