PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
5.0,2-6 SiaLac,79.0,2.42,0.086,6.715,39.01712583767684,190.0,262.0,Lost in egg,Non-binder,Non-binder,Binder,0.015736276076118046
5.0,2-6 SiaLac,79.0,2.42,0.08,6.307,17.758046614872363,190.0,112.0,Lost in egg,Non-binder,Non-binder,Binder,0.007162124787632583
5.0,2-6 SiaLac,79.0,2.42,0.081,6.365,26.708562450903376,190.0,170.0,Lost in egg,Non-binder,Non-binder,Binder,0.010772021344478425
5.0,2-6 SiaLac,79.0,2.42,0.083,6.54,2.7522935779816513,190.0,18.0,Lost in egg,Non-binder,Non-binder,Binder,0.0011100472076244767
5.0,2-6 SiaLac,71.0,2.69,0.078,5.505,33.787465940054496,190.0,186.0,Lost in egg,Non-binder,Non-binder,Binder,0.013627064539738807
5.0,2-6 SiaLac,71.0,2.69,0.073,5.154,48.117966627861854,190.0,248.0,Lost in egg,Non-binder,Non-binder,Binder,0.01940680126536338
5.0,2-6 SiaLac,71.0,2.69,0.073,5.164,6.777691711851278,190.0,35.0,Lost in egg,Non-binder,Non-binder,Binder,0.002733559319059759
5.0,2-6 SiaLac,71.0,2.69,0.08,5.705,3.8562664329535496,190.0,22.0,Lost in egg,Non-binder,Non-binder,Binder,0.0015552983954913791
5.0,2-6 SiaLac,71.0,2.69,0.08,5.674,27.317589002467393,190.0,155.0,Lost in egg,Non-binder,Non-binder,Binder,0.011017652198810676
5.0,2-6 SiaLac,71.0,2.69,0.089,6.301,64.27551182352008,190.0,405.0,Lost in egg,Non-binder,Non-binder,Binder,0.02592341637866081
5.0,2-6 SiaLac,61.0,3.11,0.089,5.46,16.483516483516485,190.0,90.0,Lost in egg,Non-binder,Non-binder,Binder,0.0066480849247839546
5.0,2-6 SiaLac,61.0,3.11,0.087,5.342,4.1183077499064025,190.0,22.0,Lost in egg,Non-binder,Non-binder,Binder,0.0016609841531782699
5.0,2-6 SiaLac,61.0,3.11,0.087,5.36,5.597014925373134,190.0,30.0,Lost in egg,Non-binder,Non-binder,Binder,0.002257372119982611
5.0,2-6 SiaLac,61.0,3.11,0.088,5.369,67.23784689886385,190.0,361.0,Lost in egg,Non-binder,Non-binder,Binder,0.027118176924824943
5.0,2-6 SiaLac,61.0,3.11,0.089,5.451,25.49990827371125,190.0,139.0,Lost in egg,Non-binder,Non-binder,Binder,0.010284550383855225
5.0,2-6 SiaLac,61.0,3.11,0.082,5.026,0.0,190.0,0.0,Lost in egg,Non-binder,Non-binder,Binder,0.0
5.0,2-6 SiaLac,53.0,3.62,0.088,4.655,18.045112781954888,190.0,84.0,Lost in egg,Non-binder,Non-binder,Binder,0.007277903496605592
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,45.900939368061486,190.0,215.0,Lost in egg,Non-binder,Non-binder,Binder,0.018512636144804733
5.0,2-6 SiaLac,53.0,3.62,0.088,4.618,82.07016024252923,190.0,379.0,Lost in egg,Non-binder,Non-binder,Binder,0.03310030330169969
5.0,2-6 SiaLac,53.0,3.62,0.089,4.684,64.04782237403928,190.0,300.0,Lost in egg,Non-binder,Non-binder,Binder,0.025831585318332188
5.0,2-6 SiaLac,53.0,3.62,0.089,4.669,43.264082244592,190.0,202.0,Lost in egg,Non-binder,Non-binder,Binder,0.017449146439263034
5.0,2-6 SiaLac,53.0,3.62,0.09,4.72,11.440677966101696,190.0,54.0,Lost in egg,Non-binder,Non-binder,Binder,0.004614221655422084
10.0,2-6 SiaLac,105.0,1.81,0.068,7.108,57.96285875070343,190.0,412.0,Lost in egg,Non-binder,Non-binder,Binder,0.023377415119114613
10.0,2-6 SiaLac,105.0,1.81,0.061,6.424,251.86799501867995,190.0,1618.0,Others,Binder,Non-binder,Binder,0.1015826824569676
10.0,2-6 SiaLac,105.0,1.81,0.064,6.744,142.79359430604984,190.0,963.0,Others,Binder,Non-binder,Binder,0.05759110579414713
10.0,2-6 SiaLac,105.0,1.81,0.062,6.467,90.30462347301686,190.0,584.0,Lost in egg,Non-binder,Non-binder,Binder,0.036421403560921446
10.0,2-6 SiaLac,105.0,1.81,0.077,8.093,85.01173853947856,190.0,688.0,Lost in egg,Non-binder,Non-binder,Binder,0.034286692283114935
10.0,2-6 SiaLac,88.0,2.17,0.08,7.055,167.11552090715804,190.0,1179.0,Others,Binder,Non-binder,Binder,0.0674005559645779
10.0,2-6 SiaLac,88.0,2.17,0.086,7.545,141.02054340622928,190.0,1064.0,Others,Binder,Non-binder,Binder,0.056876003954696844
10.0,2-6 SiaLac,88.0,2.17,0.111,9.795,58.29504849412966,190.0,571.0,Lost in egg,Non-binder,Non-binder,Binder,0.02351139294039129
10.0,2-6 SiaLac,88.0,2.17,0.084,7.408,90.03779697624189,190.0,667.0,Lost in egg,Non-binder,Non-binder,Binder,0.036313787858136395
10.0,2-6 SiaLac,88.0,2.17,0.074,6.471,75.87698964611343,190.0,491.0,Lost in egg,Non-binder,Non-binder,Binder,0.030602491374261766
10.0,2-6 SiaLac,79.0,2.42,0.111,8.693,32.20982399631888,190.0,280.0,Lost in egg,Non-binder,Non-binder,Binder,0.012990774483952236
10.0,2-6 SiaLac,79.0,2.42,0.129,10.165,71.32316773241516,190.0,725.0,Lost in egg,Non-binder,Non-binder,Binder,0.028765856888842197
10.0,2-6 SiaLac,79.0,2.42,0.116,9.118,57.46874314542663,190.0,524.0,Lost in egg,Non-binder,Non-binder,Binder,0.023178129820384447
10.0,2-6 SiaLac,79.0,2.42,0.118,9.281,33.83256114642818,190.0,314.0,Lost in egg,Non-binder,Non-binder,Binder,0.013645252209946966
10.0,2-6 SiaLac,79.0,2.42,0.107,8.437,49.543676662320735,190.0,418.0,Lost in egg,Non-binder,Non-binder,Binder,0.0199818145761868
10.0,2-6 SiaLac,79.0,2.42,0.113,8.883,43.90408645727795,190.0,390.0,Lost in egg,Non-binder,Non-binder,Binder,0.017707271115657813
10.0,2-6 SiaLac,71.0,2.69,0.102,7.254,56.10697546181417,190.0,407.0,Lost in egg,Non-binder,Non-binder,Binder,0.02262890555640321
10.0,2-6 SiaLac,71.0,2.69,0.119,8.41,91.43876337693222,190.0,769.0,Lost in egg,Non-binder,Non-binder,Binder,0.03687882163705559
10.0,2-6 SiaLac,71.0,2.69,0.13,9.221,14.965838846112135,190.0,138.0,Lost in egg,Non-binder,Non-binder,Binder,0.006035979502254773
10.0,2-6 SiaLac,71.0,2.69,0.131,9.274,12.184602113435412,190.0,113.0,Lost in egg,Non-binder,Non-binder,Binder,0.004914259023905787
10.0,2-6 SiaLac,71.0,2.69,0.13,9.232,42.78596187175044,190.0,395.0,Lost in egg,Non-binder,Non-binder,Binder,0.017256312292125885
10.0,2-6 SiaLac,71.0,2.69,0.131,9.295,12.910166756320603,190.0,120.0,Lost in egg,Non-binder,Non-binder,Binder,0.0052068916893412785
