PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status
5.0,2-6 SiaLac,300.0,120.0,2.5,0.026,3.096,68.79845,213.0,True binder
10.0,2-6 SiaLac,150.0,62.0,2.44,0.038,2.366,179.628064,425.0,True binder
10.0,2-6 SiaLac,150.0,62.0,2.44,0.037,2.289,56.356488,129.0,False binder
10.0,2-6 SiaLac,150.0,62.0,2.44,0.037,2.264,212.014134,480.0,True binder
10.0,2-6 SiaLac,150.0,62.0,2.44,0.034,2.084,256.238004,534.0,True binder
10.0,2-6 SiaLac,150.0,62.0,2.44,0.027,1.679,412.745682,693.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.076,8.334,72.234221,602.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.07,7.687,91.323013,702.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.075,8.22,85.523114,703.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.064,7.027,116.40814,818.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.072,7.948,118.520382,942.0,True binder
10.0,2-6 SiaLac,200.0,110.0,1.82,0.074,8.12,152.586207,1239.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.036,4.359,87.864189,383.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.034,4.099,96.364967,395.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.036,4.327,132.193205,572.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.033,4.002,125.437281,502.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.033,3.918,165.90097,650.0,True binder
10.0,2-6 SiaLac,300.0,120.0,2.5,0.034,4.099,217.614052,892.0,True binder
1.0,2-3 SiaLac,150.0,60.0,2.5,0.015,0.898,991.091314,890.0,True binder
1.0,2-3 SiaLac,150.0,60.0,2.5,0.015,0.887,843.291995,748.0,True binder
1.0,2-3 SiaLac,150.0,60.0,2.5,0.016,0.968,1231.404959,1192.0,True binder
