PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status
5.0,2-3 SiaLac,93.0,2.05,0.085,7.888,327.332657,190.0,2582.0,True binder
5.0,2-3 SiaLac,93.0,2.05,0.08,7.408,138.903888,190.0,1029.0,True binder
5.0,2-3 SiaLac,93.0,2.05,0.087,8.05,27.701863,190.0,223.0,False binder
5.0,2-3 SiaLac,93.0,2.05,0.088,8.139,105.295491,190.0,857.0,False binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.004,207.019103,190.0,1864.0,True binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.468,189.418989,190.0,1604.0,True binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.018,79.840319,190.0,720.0,False binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.443,106.241857,190.0,897.0,False binder
5.0,2-3 SiaLac,83.0,2.3,0.101,8.357,82.445854,190.0,689.0,False binder
5.0,2-3 SiaLac,83.0,2.3,0.088,7.292,113.686231,190.0,829.0,False binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.611,151.565573,190.0,1002.0,True binder
5.0,2-3 SiaLac,70.0,2.71,0.086,6.037,152.724863,190.0,922.0,True binder
5.0,2-3 SiaLac,70.0,2.71,0.095,6.7,230.597015,190.0,1545.0,True binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.622,207.188161,190.0,1372.0,True binder
5.0,2-3 SiaLac,70.0,2.71,0.088,6.215,186.967015,190.0,1162.0,True binder
5.0,2-3 SiaLac,70.0,2.71,0.096,6.756,124.629959,190.0,842.0,True binder
5.0,2-3 SiaLac,64.0,2.98,0.071,4.565,151.150055,190.0,690.0,True binder
5.0,2-3 SiaLac,64.0,2.98,0.072,4.593,231.003701,190.0,1061.0,True binder
5.0,2-3 SiaLac,64.0,2.98,0.072,4.593,240.365774,190.0,1104.0,True binder
5.0,2-3 SiaLac,64.0,2.98,0.07,4.499,216.937097,190.0,976.0,True binder
5.0,2-3 SiaLac,64.0,2.98,0.071,4.565,68.56517,190.0,313.0,False binder
5.0,2-3 SiaLac,64.0,2.98,0.066,4.213,108.711132,190.0,458.0,False binder
5.0,2-3 SiaLac,51.0,3.73,0.099,5.057,26.497924,190.0,134.0,True non-binder
5.0,2-3 SiaLac,51.0,3.73,0.1,5.106,62.867215,190.0,321.0,True non-binder
5.0,2-3 SiaLac,51.0,3.73,0.09,4.593,177.443936,190.0,815.0,False non-binder
5.0,2-3 SiaLac,51.0,3.73,0.098,5.008,66.094249,190.0,331.0,True non-binder
5.0,2-3 SiaLac,51.0,3.73,0.1,5.106,0.0,190.0,0.0,True non-binder
5.0,2-3 SiaLac,51.0,3.73,0.102,5.195,44.27334,190.0,230.0,True non-binder
10.0,2-3 SiaLac,111.0,1.72,0.053,5.849,268.592922,190.0,1571.0,True binder
10.0,2-3 SiaLac,111.0,1.72,0.062,6.869,185.616538,190.0,1275.0,True binder
10.0,2-3 SiaLac,111.0,1.72,0.045,4.954,248.687929,190.0,1232.0,True binder
10.0,2-3 SiaLac,111.0,1.72,0.034,3.71,506.738544,190.0,1880.0,True binder
10.0,2-3 SiaLac,111.0,1.72,0.02,2.21,976.0181,190.0,2157.0,True binder
10.0,2-3 SiaLac,93.0,2.05,0.103,9.56,100.83682,190.0,964.0,False binder
10.0,2-3 SiaLac,93.0,2.05,0.1,9.264,62.5,190.0,579.0,False binder
10.0,2-3 SiaLac,93.0,2.05,0.091,8.437,80.952945,190.0,683.0,False binder
10.0,2-3 SiaLac,93.0,2.05,0.134,12.467,44.517526,190.0,555.0,False binder
10.0,2-3 SiaLac,93.0,2.05,0.093,8.652,116.158114,190.0,1005.0,False binder
10.0,2-3 SiaLac,93.0,2.05,0.1,9.239,197.640437,190.0,1826.0,True binder
10.0,2-3 SiaLac,83.0,2.3,0.147,12.155,53.146853,190.0,646.0,False binder
10.0,2-3 SiaLac,83.0,2.3,0.147,12.142,71.40504,190.0,867.0,False binder
10.0,2-3 SiaLac,83.0,2.3,0.132,10.901,56.416842,190.0,615.0,False binder
10.0,2-3 SiaLac,83.0,2.3,0.125,10.324,71.677644,190.0,740.0,False binder
10.0,2-3 SiaLac,83.0,2.3,0.132,10.963,119.857703,190.0,1314.0,False binder
10.0,2-3 SiaLac,83.0,2.3,0.125,10.311,139.947629,190.0,1443.0,True binder
10.0,2-3 SiaLac,70.0,2.71,0.148,10.424,78.184958,190.0,815.0,False binder
10.0,2-3 SiaLac,70.0,2.71,0.084,5.902,133.175195,190.0,786.0,True binder
10.0,2-3 SiaLac,70.0,2.71,0.143,10.048,35.429936,190.0,356.0,False binder
10.0,2-3 SiaLac,70.0,2.71,0.126,8.872,64.81064,190.0,575.0,False binder
10.0,2-3 SiaLac,70.0,2.71,0.164,11.507,61.527766,190.0,708.0,False binder
10.0,2-3 SiaLac,70.0,2.71,0.132,9.311,50.692729,190.0,472.0,False binder
10.0,2-3 SiaLac,64.0,2.98,0.109,6.979,62.18656,190.0,434.0,False binder
10.0,2-3 SiaLac,64.0,2.98,0.106,6.784,38.915094,190.0,264.0,False binder
10.0,2-3 SiaLac,64.0,2.98,0.119,7.583,96.795464,190.0,734.0,False binder
10.0,2-3 SiaLac,64.0,2.98,0.107,6.873,34.191765,190.0,235.0,False binder
10.0,2-3 SiaLac,64.0,2.98,0.119,7.592,18.703899,190.0,142.0,False binder
10.0,2-3 SiaLac,51.0,3.73,0.132,6.749,56.304638,190.0,380.0,True non-binder
10.0,2-3 SiaLac,51.0,3.73,0.131,6.692,11.506276,190.0,77.0,True non-binder
10.0,2-3 SiaLac,51.0,3.73,0.131,6.664,26.710684,190.0,178.0,True non-binder
10.0,2-3 SiaLac,51.0,3.73,0.132,6.756,34.635879,190.0,234.0,True non-binder
10.0,2-3 SiaLac,51.0,3.73,0.128,6.551,55.716684,190.0,365.0,True non-binder
10.0,2-3 SiaLac,51.0,3.73,0.133,6.777,59.170725,190.0,401.0,True non-binder
1.0,2-6 SiaLac,105.0,1.81,0.03,3.114,327.231856,190.0,1019.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.026,2.765,324.412297,190.0,897.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.031,3.277,323.466585,190.0,1060.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.029,3.092,459.573092,190.0,1421.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.035,3.704,346.382289,190.0,1283.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.032,3.376,309.537915,190.0,1045.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.542,758.754864,190.0,1170.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.019,1.632,852.328431,190.0,1391.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.558,1173.94095,190.0,1829.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.623,703.0191,190.0,1141.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.016,1.384,314.306358,190.0,435.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.018,1.59,287.421384,190.0,457.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.493,823.174816,190.0,1229.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.388,1248.559078,190.0,1733.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.426,960.02805,190.0,1369.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.02,1.56,317.307692,190.0,495.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.463,224.880383,190.0,329.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.476,301.490515,190.0,445.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.253,1410.215483,190.0,1767.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.019,1.372,839.650146,190.0,1152.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.019,1.372,943.148688,190.0,1294.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.02,1.445,0.0,190.0,0.0,False binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.31,0.0,190.0,0.0,False binder
1.0,2-6 SiaLac,71.0,2.69,0.02,1.445,629.065744,190.0,909.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.022,1.323,268.329554,190.0,355.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.022,1.365,0.0,190.0,0.0,False binder
1.0,2-6 SiaLac,61.0,3.11,0.022,1.333,657.164291,190.0,876.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.022,1.365,312.087912,190.0,426.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.023,1.386,378.787879,190.0,525.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.021,1.298,200.308166,190.0,260.0,True binder
1.0,2-6 SiaLac,53.0,3.62,0.021,1.08,0.0,190.0,0.0,False binder
1.0,2-6 SiaLac,53.0,3.62,0.021,1.08,0.0,190.0,0.0,False binder
1.0,2-6 SiaLac,53.0,3.62,0.023,1.189,1362.489487,190.0,1620.0,True binder
1.0,2-6 SiaLac,53.0,3.62,0.022,1.18,627.118644,190.0,740.0,True binder
1.0,2-6 SiaLac,53.0,3.62,0.021,1.114,1000.0,190.0,1114.0,True binder
5.0,2-6 SiaLac,105.0,1.81,0.064,6.726,177.222718,190.0,1192.0,False non-binder
5.0,2-6 SiaLac,105.0,1.81,0.058,6.07,102.47117,190.0,622.0,False non-binder
5.0,2-6 SiaLac,105.0,1.81,0.059,6.187,133.505738,190.0,826.0,False non-binder
5.0,2-6 SiaLac,105.0,1.81,0.06,6.254,75.951391,190.0,475.0,True non-binder
5.0,2-6 SiaLac,105.0,1.81,0.065,6.816,165.052817,190.0,1125.0,False non-binder
5.0,2-6 SiaLac,105.0,1.81,0.067,6.995,106.361687,190.0,744.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.095,8.341,157.894737,190.0,1317.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.095,8.374,221.518987,190.0,1855.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.096,8.455,129.036073,190.0,1091.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.09,7.915,203.032217,190.0,1607.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.096,8.471,152.874513,190.0,1295.0,False non-binder
5.0,2-6 SiaLac,88.0,2.17,0.099,8.666,81.121625,190.0,703.0,True non-binder
5.0,2-6 SiaLac,79.0,2.42,0.084,6.61,145.537065,190.0,962.0,False non-binder
5.0,2-6 SiaLac,79.0,2.42,0.091,7.115,219.676739,190.0,1563.0,False non-binder
