,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2 (LOWER DILUTION),,,,,,,,,,,,,,,,,Block 10 (LOWER DILUTION),,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,8752,31825,2768815,140,15386,2.068,179.957,1270,,,,,,,,,,10883,39575,3442985,135,14306.625,2.766,240.657,1761
,,,,,,,10440,37964,3302836,135,14306.625,2.654,230.861,631,,,,,,,,,,12307,44753,3893487,140,15386,2.909,253.054,1645
,,,0.52,104,0.52,0.275,7563,27502,2970196,135,14306.625,1.922,207.610,1439,,,,,,0.52,104,0.52,0.275,9066,32967,3560465,135,14306.625,2.304,248.868,1489
,,,,,,,7714,28051,3029498,140,15386,1.823,196.900,1219,,,,,,,,,,8359,30396,3282807,135,14306.625,2.125,229.461,1622
,,,,,,,7245,26345,2845309,140,15386,1.712,184.928,1346,,,,,,,,,,8532,31025,3350749,135,14306.625,2.169,234.210,1533
,,,,,,,7326,26640,2877120,135,14306.625,1.862,201.104,1349,,,,,,,,,,8764,31869,3441862,135,14306.625,2.228,240.578,1478
,,,,,,,3297,11989,1294822,275,59365.625,0.202,21.811,941,,,,,,,,,,9024,32815,3543971,135,14306.625,2.294,247.715,1630
,,,,,,,7136,25949,2802502,135,14306.625,1.814,195.888,864,,,,,,,,,,9665,35145,3795709,135,14306.625,2.457,265.311,1498
,,300,0.36,108,0.36,0.093,3381,36394,3166276,145,16504.625,2.205,191.842,1124,,,,,300,0.36,108,0.36,0.093,3552,38235,3326416,150,17662.5,2.165,188.332,1238
,,,,,,,3492,37589,3270226,140,15386,2.443,212.546,963,,,,,,,,,,3580,38536,3352637,145,16504.625,2.335,203.133,1301
,,,,,,,3439,37018,3220592,145,16504.625,2.243,195.133,1040,,,,,,,,,,3701,39839,3465953,145,16504.625,2.414,209.999,1196
,,,,,,,3488,37546,3266480,140,15386,2.440,212.302,970,,,,,,,,,,3638,39160,3406954,145,16504.625,2.373,206.424,1212
,,,,,,,2272,24456,2127707,115,10381.625,2.356,204.949,836,,,,,,,,,,3705,39882,3469699,145,16504.625,2.416,210.226,1264
,,,,,,,3469,37341,3248687,145,16504.625,2.262,196.835,1101,,,,,,,,,,3854,41485,3609236,150,17662.5,2.349,204.345,1182
