egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,,,,egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,
Block 2 and 10,,,,,,,,,,,,,,,,,Block 2 and 10,,,,,,,,,,,,,,
Block 1 and 9 are Ab control ,,,,,,,,,,,,,,,,,Block 1 and 9 are Ab control ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 10,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,110,1184,166954,170,22686.5,0.052,7.359,110,,,,,,,,,,441,4747,669333,145,16504.625,0.288,40.554,70
,,,,,,,89,958,135081,170,22686.5,0.042,5.954,89,,,,,,,,,,435,4682,660226,150,17662.5,0.265,37.380,57
,,,,,,,83,893,125974,165,21371.625,0.042,5.894,83,,,,,,,,,,420,4521,637460,155,18859.625,0.240,33.800,36
10,α2-6 SiaLac,150,0.29,44,0.29,0.063,54,857,37714,135,14306.625,0.060,2.636,54,,,10,α2-6 SiaLac,150,0.29,44,0.29,0.063,2432,38603,1698540,135,14306.625,2.698,118.724,76
,,,,,,,-1022,-16222,-713778,135,14306.625,-1.134,-49.891,1022*,,,,,,,,,,2255,35794,1574921,140,15386,2.326,102.361,100
,,,,,,,-89,-1413,-62159,135,14306.625,-0.099,-4.345,-89,,,,,,,,,,2577,40905,1799810,135,14306.625,2.859,125.803,102
,,,,,,,83,1317,57968,140,15386,0.086,3.768,83,,,,,,,,,,2547,40429,1778857,130,13266.5,3.047,134.086,122
,,,,,,,184,2921,128508,135,14306.625,0.204,8.982,184,,,,,,,,,,2639,41889,1843111,135,14306.625,2.928,128.829,93
,,,,,,,109,1730,76127,135,14306.625,0.121,5.321,109,,,,,,,,,,2571,40810,1795619,130,13266.5,3.076,135.350,101
,,,0.40,60,0.40,0.063,123,1952,117143,135,14306.625,0.136,8.188,123,,,,,,0.40,60,0.40,0.063,603,9571,574286,130,13266.5,0.721,43.288,74
,,,,,,,102,1619,97143,130,13266.5,0.122,7.322,102,,,,,,,,,,558,8857,531429,135,14306.625,0.619,37.146,110
,,,,,,,109,1730,103810,135,14306.625,0.121,7.256,109,,,,,,,,,,653,10365,621905,135,14306.625,0.724,43.470,106
,,,,,,,115,1825,109524,135,14306.625,0.128,7.655,115,,,,,,,,,,657,10429,625714,130,13266.5,0.786,47.165,369
,,,,,,,222,3524,211429,135,14306.625,0.246,14.778,222,,,,,,,,,,636,10095,605714,130,13266.5,0.761,45.657,140
,,,,,,,111,1762,105714,135,14306.625,0.123,7.389,111,,,,,,,,,,617,9794,587619,130,13266.5,0.738,44.293,119
,,200,0.39,78,0.39,0.275,86,313,24393,135,14306.625,0.022,1.705,86,,,,,200,0.39,78,0.39,0.275,11816,42967,3351447,135,14306.625,3.003,234.258,97
,,,,,,,93,338,26378,135,14306.625,0.024,1.844,93,,,,,,,,,,12130,44109,3440509,135,14306.625,3.083,240.484,60
,,,,,,,73,265,20705,135,14306.625,0.019,1.447,73,,,,,,,,,,12029,43742,3411862,135,14306.625,3.057,238.481,73
,,,,,,,84,305,23825,140,15386,0.020,1.549,84,,,,,,,,,,11975,43545,3396545,135,14306.625,3.044,237.411,85
