egg H1N1 binding to TL-VI-25-5,,DP 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 and 9 = H1N1 @ 2500 HAU,,label eff,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 16 Buffer control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 1,,,,,,,,,,,,,,,,,Block 9,,,,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,
,,300,0.28,84,0.28,0.093,9121,98181,8247191,145,16504.625,5.949,499.690,41,,,,,300,0.28,84,0.28,0.093,9727,104704,8795135,140,15386,6.805,571.632,330,,,
,,,,,,,9192,98945,8311389,140,15386,6.431,540.192,32,,,,,,,,,,9803,105522,8863854,145,16504.625,6.393,537.053,176,,,
,,,,,,,9215,99193,8332185,140,15386,6.447,541.543,93,,,,,,,,,,10027,107933,9066394,145,16504.625,6.540,549.324,181,,,
,,,,,,,9490,102153,8580840,140,15386,6.639,557.704,26,,,,,,,,,,10475,112756,9471475,140,15386,7.328,615.590,182,,,
,,,,,,,9937,106964,8985016,140,15386,6.952,583.973,412,,,,,,,,,,11527,124080,10422691,140,15386,8.064,677.414,265,,,
,,,,,,,11893,128019,10753628,140,15386,8.321,698.923,132,,,,,,,,,,15685,168837,14182347,140,15386,10.973,921.770,359,,,
,,,0.56,168,0.56,0.093,7654,82390,13841464,145,16504.625,4.992,838.642,46,,,,,,0.56,168,0.56,0.093,8755,94241,15832508,140,15386,6.125,1029.020,270,,,
,,,,,,,8188,88138,14807147,140,15386,5.728,962.378,-26,,,,,,,,,,8737,94047,15799957,145,16504.625,5.698,957.305,323,,,
,,,,,,,8287,89203,14986179,140,15386,5.798,974.014,110,,,,,,,,,,8841,95167,15988030,140,15386,6.185,1039.128,272,,,
,,,,,,,8214,88418,14854166,145,16504.625,5.357,900.000,211,,,,,,,,,,9030,97201,16329817,140,15386,6.318,1061.343,378,,,
,,,,,,,9131,98288,16512465,140,15386,6.388,1073.214,8,,,,,,,,,,10519,113229,19022519,140,15386,7.359,1236.352,260,,,
,,,,,,,10320,111087,18662648,140,15386,7.220,1212.963,52,,,,,,,,,,13641,146835,24668332,140,15386,9.543,1603.297,411,,,
