Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
,,,,0.086,9.081,461,0.072,7.608,724,0.070,7.391,499,0.050,5.217,1034,,,,,,
,,,,0.075,7.926,544,0.080,8.362,250,0.094,9.832,922,0.064,6.749,989,,,,,,
,,,,0.073,7.692,660,0.070,7.374,386,0.081,8.542,974,0.078,8.164,727,,,,,,
,,,,0.067,7.046,797,0.070,7.357,865,0.073,7.625,889,0.059,6.234,1154,,,,,,
,,88,2.17,0.111,9.724,148,0.109,9.556,251,0.068,5.961,569,0.068,5.936,267,,,,,,
,,,,0.112,9.822,350,0.108,9.528,249,0.072,6.287,331,0.064,5.668,388,,,,,,
,,,,0.119,10.473,287,0.102,8.935,164,0.077,6.783,377,0.071,6.209,387,,,,,,
,,,,0.112,9.850,510,0.109,9.556,219,0.108,9.486,801,0.072,6.300,373,,,,,,
,,,,0.111,9.794,595,0.107,9.388,237,0.108,9.486,611,0.098,8.648,573,,,,,,
,,,,0.111,9.724,718,0.101,8.856,366,0.083,7.327,639,0.084,7.359,611,,,,,,
,,79,2.42,0.113,8.889,168,0.116,9.096,198,0.099,7.743,509,0.102,8.050,119,,,,,,
,,,,0.121,9.489,120,0.112,8.791,236,0.104,8.202,402,0.086,6.721,267,,,,,,
,,,,0.121,9.524,291,0.120,9.396,69,0.096,7.570,387,0.088,6.917,281,,,,,,
,,,,0.113,8.845,457,0.111,8.736,187,0.112,8.780,789,0.087,6.836,297,,,,,,
,,,,0.114,8.987,838,0.112,8.823,242,0.132,10.328,577,0.092,7.243,296,,,,,,
,,,,0.124,9.734,815,0.111,8.703,286,0.120,9.455,540,0.099,7.745,373,,,,,,
,,71,2.69,0.134,9.516,239,0.129,9.147,150,0.117,8.262,175,0.118,8.361,-38,,,,,,
,,,,0.124,8.764,-100,0.120,8.528,43,0.108,7.627,308,0.107,7.572,238,,,,,,
,,,,0.134,9.474,743,0.121,8.577,45,0.111,7.876,566,0.104,7.348,-117,,,,,,
,,,,0.134,9.505,520,0.119,8.459,43,0.110,7.821,420,0.110,7.784,-25,,,,,,
,,,,0.125,8.892,447,0.121,8.548,10,0.123,8.754,310,0.100,7.080,184,,,,,,
,,,,0.138,9.800,497,0.122,8.666,218,0.126,8.935,324,0.103,7.340,176,,,,,,
