egg H1N1 binding to TL-VI-26-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 5 new unpure + new HA,,,Block 13 new unpure + old HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 = new HA control ,,,Block 1 = old HA control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 5,,,,,,,,,,,,,,,,,Block 13,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,1340,4873,477527,130,13266.5,0.367,35.995,300,,,,,,,,,,1247,4535,444385,135,14306.625,0.317,31.062,98
,,,,,,,1324,4815,471825,130,13266.5,0.363,35.565,286,,,,,,,,,,1231,4476,438684,140,15386,0.291,28.512,113
,,,,,,,1271,4622,452938,135,14306.625,0.323,31.659,293,,,,,,,,,,1238,4502,441178,140,15386,0.293,28.674,81
,,,,,,,1286,4676,458284,135,14306.625,0.327,32.033,263,,,,,,,,,,1231,4476,438684,140,15386,0.291,28.512,90
,,,,,,,1423,5175,507105,135,14306.625,0.362,35.445,309,,,,,,,,,,1368,4975,487505,140,15386,0.323,31.685,88
,,300,0.35,105,0.35,0.093,445,4790,502960,130,13266.5,0.361,37.912,195,,,,,300,0.35,105,0.35,0.093,386,4155,436276,135,14306.625,0.290,30.495,71
,,,,,,,518,5576,585468,130,13266.5,0.420,44.131,361,,,,,,,,,,401,4316,453229,140,15386,0.281,29.457,98
,,,,,,,511,5501,577557,130,13266.5,0.415,43.535,363,,,,,,,,,,422,4543,476964,135,14306.625,0.318,33.339,99
,,,,,,,491,5285,554952,135,14306.625,0.369,38.790,319,,,,,,,,,,429,4618,484876,135,14306.625,0.323,33.892,94
,,,,,,,440,4736,497309,130,13266.5,0.357,37.486,271,,,,,,,,,,438,4715,495048,135,14306.625,0.330,34.603,80
,,,,,,,459,4941,518784,135,14306.625,0.345,36.262,285,,,,,,,,,,430,4629,486006,135,14306.625,0.324,33.971,81
,,,0.47,141,0.47,0.093,281,3025,426491,115,10381.625,0.291,41.081,131,,,,,,0.47,141,0.47,0.093,215,2314,326319,120,11304,0.205,28.868,6
,,,,,,,235,2530,356674,120,11304,0.224,31.553,250,,,,,,,,,,216,2325,327836,115,10381.625,0.224,31.579,57
,,,,,,,235,2530,356674,125,12265.625,0.206,29.079,248,,,,,,,,,,212,2282,321765,125,12265.625,0.186,26.233,78
,,,,,,,234,2519,355156,125,12265.625,0.205,28.955,229,,,,,,,,,,220,2368,333907,110,9498.5,0.249,35.154,3
,,,,,,,234,2519,355156,125,12265.625,0.205,28.955,180,,,,,,,,,,212,2282,321765,115,10381.625,0.220,30.994,47
,,,,,,,260,2799,394618,120,11304,0.248,34.910,226,,,,,,,,,,232,2497,352121,115,10381.625,0.241,33.918,63
5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1621,25730,1119262,135,14306.625,1.798,78.234,200,,,5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1429,22683,986690,145,16504.625,1.374,59.783,78
,,,,,,,1649,26175,1138595,135,14306.625,1.830,79.585,180,,,,,,,,,,1454,23079,1003952,145,16504.625,1.398,60.829,79
,,,,,,,1570,24921,1084048,135,14306.625,1.742,75.772,186,,,,,,,,,,1420,22540,980476,145,16504.625,1.366,59.406,67
,,,,,,,1551,24619,1070929,135,14306.625,1.721,74.855,132,,,,,,,,,,1403,22270,968738,145,16504.625,1.349,58.695,73
,,,,,,,1602,25429,1106143,135,14306.625,1.777,77.317,206,,,,,,,,,,1384,21968,955619,150,17662.5,1.244,54.104,55
,,,,,,,1692,26857,1168286,140,15386,1.746,75.932,246,,,,,,,,,,1455,23095,1004643,145,16504.625,1.399,60.870,53
,,,0.40,60,0.40,0.063,615,9762,585714,125,12265.625,0.796,47.753,231,,,,,,0.40,60,0.40,0.063,580,9206,552381,135,14306.625,0.644,38.610,76
,,,,,,,644,10222,613333,125,12265.625,0.833,50.004,297,,,,,,,,,,604,9587,575238,135,14306.625,0.670,40.208,69
,,,,,,,631,10016,600952,125,12265.625,0.817,48.995,300,,,,,,,,,,593,9413,564762,140,15386,0.612,36.706,63
,,,,,,,645,10238,614286,125,12265.625,0.835,50.082,271,,,,,,,,,,588,9333,560000,135,14306.625,0.652,39.143,64
,,,,,,,624,9905,594286,130,13266.5,0.747,44.796,211,,,,,,,,,,560,8889,533333,140,15386,0.578,34.664,57
,,,,,,,683,10841,650476,125,12265.625,0.884,53.032,293,,,,,,,,,,594,9429,565714,135,14306.625,0.659,39.542,66
,,200,0.39,78,0.39,0.275,7824,28451,2219171,125,12265.625,2.320,180.926,310,,,,,200,0.39,78,0.39,0.275,6730,24473,1908873,140,15386,1.591,124.066,98
,,,,,,,6521,23713,1849593,140,15386,1.541,120.213,309,,,,,,,,,,7044,25615,1997935,140,15386,1.665,129.854,90
,,,,,,,6999,25451,1985171,135,14306.625,1.779,138.759,330,,,,,,,,,,6541,23785,1855265,140,15386,1.546,120.581,73
