Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
,,,,0.017,1.536,2505,0.018,1.668,1546,0.020,1.831,3370,
,,83,2.30,0.023,1.868,2789,0.026,2.155,340*,0.026,1.818,2480,
,,,,0.037,3.068,1542,0.024,1.964,1977,0.024,2.155,1342,
,,,,0.024,1.991,2570,0.026,2.183,1625,0.026,2.017,3633,
,,,,0.029,2.368,1667,0.025,2.057,1787,0.026,2.162,8631*,
,,,,0.033,2.745,1682,0.027,2.198,2105,0.025,2.126,3075,
,,,,0.027,2.241,3096,0.025,2.057,1607,0.025,2.102,3266,
,,70,2.71,0.031,2.209,1101,0.020,1.374,494*,0.019,2.102,1517,
,,,,0.029,2.074,1075,0.020,1.422,1038,0.020,1.333,1157,
,,,,0.030,2.089,1784,0.021,1.446,580,0.021,1.423,3150,
,,,,0.021,1.482,2933,0.020,1.434,1123,0.020,1.468,2968,
,,,,0.032,2.258,1936,0.021,1.458,1347,0.020,1.410,2590,
,,,,0.021,1.446,1910,0.021,1.494,760,0.020,1.400,2490,
,,64,2.98,0.018,1.122,1594,0.015,0.974,-106*,0.017,1.389,1849,
,,,,0.018,1.181,980,0.015,0.963,647,0.017,1.073,1731,
,,,,0.021,1.366,667,0.015,0.974,1117,0.017,1.059,1965,
,,,,0.019,1.228,810,0.016,1.007,1339,0.016,1.079,931,
,,,,0.023,1.469,800,0.016,1.007,889,0.015,0.997,919,
,,,,0.020,1.252,1784,0.016,1.007,875,0.015,0.978,657,
,,51,3.73,0.027,1.355,775,0.023,1.198,837,0.021,0.949,637,
,,,,0.029,1.499,1501,0.022,1.114,-273*,0.020,1.065,1160,
,,,,0.032,1.632,632,0.022,1.138,1987,0.019,1.032,1338,
,,,,0.028,1.452,276,0.022,1.130,1266,0.018,0.985,643,
,,,,0.030,1.518,406,0.022,1.146,780,0.016,0.921,802,
,,,,0.028,1.452,612,0.023,1.171,1006,0.018,0.809,649,
5,α2-3 SiaLac,111,1.72,0.050,5.581,3842,0.057,6.266,1937,0.032,0.906,2813,
,,,,0.050,5.535,1899,0.052,5.743,1511,0.032,3.573,3050,
,,,,0.050,5.489,1761,0.052,5.792,1438,0.031,3.527,3826,
,,,,0.040,4.473,2252,0.056,6.213,1904,0.031,3.404,3797,
,,,,0.057,6.268,1739,0.053,5.842,2798*,0.030,3.435,3202,
,,,,0.054,5.995,2355,0.056,6.235,2336,0.032,3.358,3595,
