



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,7573,27538,2698742,140,15386,1.790,175.402,2391,,,,,,,,,,7645,27800,2724400,140,15386,1.807,177.070,1838
,,,,,,,7778,28284,2771796,140,15386,1.838,180.151,2021,,,,,,,,,,7873,28629,2805651,140,15386,1.861,182.351,1295
,,,,,,,8375,30455,2984545,140,15386,1.979,193.978,2230,,,,,,,,,,8158,29665,2907215,140,15386,1.928,188.952,1633
,,,,,,,8873,32265,3162015,140,15386,2.097,205.512,2286,,,,,,,,,,8188,29775,2917905,145,16504.625,1.804,176.793,1688
,,300,0.35,105,0.35,0.093,3151,33918,3561410,140,15386,2.204,231.471,2348,,,,,300,0.35,105,0.35,0.093,2910,31324,3289020,140,15386,2.036,213.767,3074
,,,,,,,3061,32949,3459688,140,15386,2.142,224.859,2569,,,,,,,,,,2938,31625,3320667,140,15386,2.055,215.824,2735
,,,,,,,3193,34370,3608881,135,14306.625,2.402,252.252,2133,,,,,,,,,,3113,33509,3518461,140,15386,2.178,228.679,2018
,,,,,,,3533,38030,3993165,135,14306.625,2.658,279.113,2859,,,,,,,,,,2986,32142,3374919,140,15386,2.089,219.350,1736
,,,,,,,3625,39020,4097147,140,15386,2.536,266.291,3299,,,,,,,,,,3122,33606,3528633,140,15386,2.184,229.341,1431
,,,,,,,3512,37804,3969429,135,14306.625,2.642,277.454,2032,,,,,,,,,,3190,34338,3605490,145,16504.625,2.081,218.453,1508
,,,0.47,141,0.47,0.093,2817,30323,4275533,135,14306.625,2.120,298.850,3288,,,,,,0.47,141,0.47,0.093,2736,29451,4152594,135,14306.625,2.059,290.257,3086
,,,,,,,2833,30495,4299817,135,14306.625,2.132,300.547,3147,,,,,,,,,,2761,29720,4190538,135,14306.625,2.077,292.909,4005
,,,,,,,3049,32820,4627653,135,14306.625,2.294,323.462,2724,,,,,,,,,,2872,30915,4359010,135,14306.625,2.161,304.685,2468
,,,,,,,2966,31927,4501679,135,14306.625,2.232,314.657,2839,,,,,,,,,,2818,30334,4277051,140,15386,1.972,277.983,2145
,,,,,,,3234,34812,4908439,135,14306.625,2.433,343.089,3152,,,,,,,,,,3154,33950,4787018,135,14306.625,2.373,334.602,2205
,,,,,,,3277,35274,4973703,130,13266.5,2.659,374.907,3279,,,,,,,,,,3171,34133,4812820,140,15386,2.218,312.805,2269
