PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
10.0,2-6 SiaLac,200.0,78.0,0.39,3.829,298.679,1.432976540031271,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,4.168,325.119,0.9504212303802607,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,3.79,295.656,0.7001379982141407,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,3.831,298.845,0.6090113604042229,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,2.369,184.803,2.2023452000238093,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.871,379.364,1.3891671323583683,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.773,369.799,1.6630656113185813,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.763,368.728,1.4292378121542166,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,1.556,152.473,2.334839610947512,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,2.128,208.542,1.2179800711607254,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.321,325.436,1.7023316412443614,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,5.169,542.696,0.7518021138906497,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.835,507.665,1.0676331833000108,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.112,1.0806291312372809,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.191,0.8064023218077608,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.712,494.788,0.5032458345796583,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.29,604.914,0.7372948881989837,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.671,658.633,0.9322338844242545,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.31,607.672,1.0104135125528244,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.304,606.929,0.6343410843772501,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.409,621.676,0.2750628944980987,Others,Binder,Non-binder,Non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.484,632.178,0.4919500520423045,Others,Binder,Non-binder,Non-binder
