PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
10.0,2-6 SiaLac,53.0,3.62,0.115,6.07,62.76771004942339,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.114,5.997,26.680006670001667,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.085,159.0797041906327,190.0,Others,Non-binder,Non-binder,Non-binder
10.0,2-6 SiaLac,53.0,3.62,0.116,6.092,-58.10899540380828,190.0,Others,Non-binder,Non-binder,Non-binder
1.0,2-3 SiaLac,111.0,1.72,0.021,2.272,327.02464788732397,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,111.0,1.72,0.023,2.531,295.9304622678783,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.628,520.9284627092846,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.65,860.7547169811321,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,111.0,1.72,0.024,2.694,904.2316258351893,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,111.0,1.72,0.026,2.899,859.2618144187651,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.019,1.747,840.2976531196337,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.716,361.3053613053613,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.7,551.7647058823529,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.018,1.684,669.833729216152,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.566,1032.5670498084291,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,93.0,2.05,0.017,1.536,1630.859375,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.023,1.868,1493.0406852248393,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.037,3.068,502.6075619295958,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.024,1.991,1290.808638874937,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.029,2.368,703.9695945945946,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.033,2.745,612.7504553734062,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,83.0,2.3,0.027,2.241,1381.5261044176707,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,70.0,2.71,0.031,2.209,498.415572657311,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,70.0,2.71,0.029,2.074,518.3220829315333,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,70.0,2.71,0.03,2.089,853.9971278123504,190.0,Conserved,Binder,Binder,Binder
1.0,2-3 SiaLac,70.0,2.71,0.021,1.482,1979.0823211875843,190.0,Conserved,Binder,Binder,Binder
